sample_code,date_collected,Site_name,Site,sample_location,cultivar,rootstock,replicate,year_planted,year_planted_descr,pH,lime_index,P_ppm,K_ppm,Ca_ppm,Mg_ppm,NO3N_ppm,NH4N_ppm,OM_percent,sand_percent,silt_percent,clay_percent,soil_type,Lesion,Dagger,Ring,Pin,Stunt,Spiral,Tylenchs,Aphelenchs,Dorylaims,Monochs,BacterialFeeders,MycorrhizalFungi,Oligochaetes
F23,6/26/17,DietrichEast,9,RootZone,Golden,M9,NA,NA,unknown,6.4,70,117,208,1067,195,0.4,10.4,2.9,49,35.9,15.1,Loam,0,22,0,28,0,0,92,0,4,0,368,8,24
F24,6/26/17,Wells,10,RootZone,NSpy,Pajam_Bud9,NA,1990,approximate,6.2,69,76,197,908,112,4.8,4.6,3.3,50,34.9,15.1,Loam,10,0,0,0,0,0,0,12,4,4,84,8,0
F25,6/26/17,Wells,10,RootZone,PaulaRed,Pajam_Bud9,NA,1990,approximate,7.1,NA,74,202,1233,141,0.3,3,2.4,51,33.9,15.1,Loam,0,18,0,2,0,0,112,0,8,0,48,56,0
F26,6/27/17,FrensNorth,11,RootZone,IdaRed,Bud9,NA,1999,actual,7,NA,86,226,2010,265,0.5,3.6,4.5,32,46.9,21.1,Loam,2,48,0,360,0,0,28,12,4,0,320,32,0
F27,6/27/17,FrensSouth,12,RootZone,IdaRed,Bud9,NA,1999,actual,6.6,71,40,120,1681,217,0.2,4.5,4.1,37.3,43.3,19.4,Loam,10,24,4,96,0,0,140,8,8,8,332,28,16
F28,6/27/17,RoosinckPatterson,13,RootZone,Rome,M7,NA,1980,approximate,6.5,71,157,119,1108,148,0.1,3,3.5,57.3,28.3,14.4,SandyLoam,4,38,0,0,0,0,4,8,16,0,364,8,12
F29,6/27/17,RoosinckPatterson,13,RootZone,Red,M7,NA,1980,approximate,6.7,71,143,147,1174,181,0.2,3.7,3.8,59.3,25.3,15.4,SandyLoam,4,12,0,0,0,0,8,8,8,8,472,8,20
F30,6/27/17,RoosinckReeman,14,RootZone,MacIntosh,M7,NA,1980,approximate,6.9,NA,90,124,988,103,0.3,2.5,1.9,66.3,21.3,12.4,SandyLoam,0,4,0,0,0,0,44,8,0,4,200,16,32
F31,6/27/17,RoosinckReeman,14,RootZone,Red,M111,NA,1980,approximate,6.7,71,117,148,929,149,0.2,2.5,2.1,59.3,25.4,15.3,SandyLoam,0,0,0,0,0,0,20,8,12,0,492,24,16
F32,6/27/17,Rasch,15,RootZone,Empire,M7,NA,1980,approximate,6.1,70,135,87,622,106,0.2,2.4,1.6,71.3,18.4,10.3,SandyLoam,0,4,2,2,0,0,60,44,16,0,500,24,4
F33,6/27/17,Rasch,15,RootZone,IdaRed,M7,NA,1980,approximate,6.5,71,157,115,657,106,0.2,3,1.8,65.2,23.5,11.3,SandyLoam,0,0,0,0,0,0,20,0,0,0,1800,368,8
F34,6/27/17,Rasch,15,RootZone,JonaGold,M7,NA,1980,approximate,6.9,NA,124,111,814,145,0.2,2.9,2,65.2,22.5,12.3,SandyLoam,12,4,0,4,0,0,84,16,44,12,532,132,16
F35,6/27/17,Rasch,15,RootZone,NSpy,M7,NA,1980,approximate,6.7,72,127,105,809,116,0.2,2.6,1.9,71.2,17.5,11.3,SandyLoam,0,0,0,0,0,0,64,0,8,0,204,120,4
F36,6/28/17,RothNorth,16,RootZone,Red,M126,NA,1990,approximate,6.5,71,38,218,1218,152,0.2,4.5,3.6,51.2,31.5,17.3,Loam,18,18,0,0,0,0,32,28,8,4,844,72,8
F37,6/28/17,RothSouth,17,RootZone,Red,M126,NA,1990,approximate,6.3,71,12,112,1231,193,0.3,4.3,3.6,53.2,27.5,19.3,SandyLoam,4,140,0,0,0,0,96,12,8,0,180,200,76
F38,6/28/17,Kropf,18,RootZone,JonaGold,Bud9,NA,1980,approximate,7.1,NA,127,133,1093,135,0.4,3.6,2.6,61.2,26.5,12.3,SandyLoam,0,0,10,10,0,0,80,4,8,20,608,100,0
F39,6/28/17,Kropf,18,RootZone,Gala,Bud9,NA,1980,approximate,7.3,NA,96,145,1199,100,0.2,2.6,2.4,60.2,26.5,13.3,SandyLoam,0,0,0,0,0,0,100,40,10,0,1640,108,16
F40,6/28/17,Kropf,18,RootZone,Golden,Bud9,NA,1980,approximate,6.8,NA,84,159,949,92,0.2,2.9,2.2,61.2,26.5,12.3,SandyLoam,4,4,0,0,0,0,68,8,8,0,184,176,2
F41,6/28/17,RaschBigRock,19,RootZone,Red,M7,NA,1980,approximate,6.9,NA,157,179,1485,166,0.4,3.9,3.9,53.2,32.5,14.3,SandyLoam,4,26,0,0,0,0,120,36,8,16,632,12,4
F42,6/28/17,RaschBigRock,19,RootZone,IdaRed,M7,NA,1980,approximate,6.9,NA,192,185,1497,175,0.8,4.7,3.6,61.3,24.4,14.3,SandyLoam,2,4,0,0,0,0,20,60,10,0,2160,32,16
F43,6/28/17,RaschSouthofHouse,20,RootZone,Golden,M7,NA,1980,approximate,6.9,NA,152,205,1578,193,0.2,5,3.2,39.3,42.4,18.3,Loam,0,4,0,0,0,0,16,16,4,0,976,44,12
F44,6/28/17,RaschSouthofHouse,20,RootZone,Jonathan,M7,NA,1980,approximate,6.9,NA,186,214,1483,184,0.4,4.4,3.9,43.3,37.4,19.3,Loam,4,0,0,0,0,0,64,40,24,0,1024,44,20
F45,6/28/17,RaschSouthofHouse,20,RootZone,Red,M7,NA,1980,approximate,7,NA,179,264,1872,235,0.4,4.3,3.7,35.3,43.4,21.3,Loam,0,0,0,0,0,0,60,0,20,0,1560,28,0
