Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU_100	1	0	0	1.56E-73	0	14	-0.577350269	0
OTU_1076	1	0	0	8.06E-99	0	28	0	0
OTU_1094	1	0	0	8.06E-99	0	34	0	0
OTU_1119	1	0	0	8.06E-99	0	22	0	0
OTU_1129	2	63.8615954	580	0.001030704	0	0	-0.825722824	0.5
OTU_1160	1	0	0	8.06E-99	0	25	0	0
OTU_1161	2	305	1748	0.003318519	0	10	1	0
OTU_126	1	0	0	8.06E-99	0	39	0	0
OTU_1410	1	0	0	8.06E-99	0	23	0	0
OTU_15	1	0	0	8.06E-99	0	26	0	0
OTU_1539	1	0	0	7.60E-48	0	11	-0.729324957	0
OTU_166	3	3	3	4.69E-73	0	14	1.732050808	0
OTU_1921	1	0	0	8.06E-99	0	32	0	0
OTU_211	1	0	0	8.06E-99	0	24	0	0
OTU_219	3	146.186186	1820	0.002375075	0	2	-0.195579565	0
OTU_229	1	0	0	8.06E-99	0	29	0	0
OTU_246	1	0	0	8.06E-99	0	34	0	0
OTU_266	1	0	0	8.06E-99	0	23	0	0
OTU_271	1	0	0	0.00039764	0	2	-0.847511447	0
OTU_272	1	0	0	8.06E-99	0	31	0	0
OTU_285	1	0	0	8.06E-99	0	31	0	0
OTU_2903	1	0	0	8.06E-99	0	51	0	0
OTU_3002	1	0	0	9.26E-48	0	11	-0.729324957	0
OTU_3063	1	0	0	8.06E-99	0	30	0	0
OTU_3076	3	42.76827503	544	0.002717858	0.666666667	2	-0.195579565	0
OTU_3079	6	15.5	16	2.80E-47	0.133333333	11	2.187974872	0
OTU_314	1	0	0	8.06E-99	0	32	0	0
OTU_3172	1	0	0	8.06E-99	0	30	0	0
OTU_3213	1	0	0	8.06E-99	0	24	0	0
OTU_3214	1	0	0	0.000409409	0	10	-1	0
OTU_3281	2	0	0	1.69E-47	1	11	-0.145864991	0
OTU_3284	2	1	1	1.45E-82	0	19	0	0
OTU_3294	2	0	0	1.69E-47	1	11	-0.145864991	0
OTU_3442	1	0	0	8.06E-99	0	26	0	0
OTU_3449	1	0	0	9.26E-48	0	11	-0.729324957	0
OTU_3470	1	0	0	9.26E-48	0	11	-0.729324957	0
OTU_3510	1	0	0	8.06E-99	0	29	0	0
OTU_3744	1	0	0	8.06E-99	0	28	0	0
OTU_375	4	6.5	7	2.29E-47	0.333333333	11	1.02105494	0
OTU_419	1	0	0	8.06E-99	0	22	0	0
OTU_453	3	42.76827503	544	0.002717858	0.666666667	2	-0.195579565	0
OTU_646	1	0	0	8.06E-99	0	25	0	0
OTU_74	1	0	0	1.56E-73	0	14	-0.577350269	0
OTU_762	3	5	5	4.32E-70	0	9	1.75	0
OTU_981	3	609	4669	0.001260536	0	15	0	0
