Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
FPLS01013161.14.1531	18	4166.607715	26796	0.239886019	0.078431373	3	2.502078538	0.345679012
FPLS01015067.17.1524	3	5	5	3.70E-59	0.333333333	8	1.322875656	0
FPLS01018303.13.1530	9	463.9051425	3704	0.118699291	0.111111111	3	0.990406088	0.197530864
FPLS01021885.16.1486	1	0	0	0.000837225	0	6	-0.583717232	0
FPLS01023412.12.1532	1	0	0	0.042907602	0	3	-0.77321177	0
FPLS01025427.9.1500	3	305	1993	0.044922726	0.333333333	3	-0.269320954	0
FPLS01027209.11.1516	1	0	0	8.06E-99	0	57	0	0
FPLS01034545.9.1536	1	0	0	8.06E-99	0	50	0	0
FPLS01036854.16.1552	2	5	5	1.11E-59	0	8	0	0
FPLS01037614.13.1517	1	0	0	0.007601138	0	3	-0.77321177	0
FPLS01039589.11.1546	1	0	0	0.013181144	0	3	-0.77321177	0
FPLS01040234.20.1521	1	0	0	0.001158188	0	2	-0.847511447	0
FPLS01044982.10.1479	1	0	0	6.64E-05	0	2	-0.847511447	0
FPLS01047175.12.1456	3	430.8461739	2797	0.000855618	0	1	0.251132651	0
FPLS01051208.10.1550	5	837.661329	3611	0.008083708	0.2	4	1.059145827	0
FPLS01051218.22.1526	11	1978.370539	12587	0.20812634	0.272727273	3	1.494296905	0.165289256
FPLS01051879.12.1515	1	0	0	0.014644036	0	3	-0.77321177	0
FPLS01054308.18.1559	2	305	3253	1.41E-08	0	7	0.301511345	0
FPLS01057749.14.1522	3	305	1493	0.000428898	0.333333333	4	-0.341659944	0.444444444
FQ859183.1179124.1180623	2	8	8	2.12E-59	0	8	0	0
FR687425.1.1464	4	261.5860815	5266	0.007639166	0	1	0.251132651	0.375
FR687474.1.1514	3	123.5417258	681	0.003660958	0.333333333	4	0.125275313	0
FR687499.1.1527	1	0	0	1.34E-76	0	12	-1	0
FR687541.1.1483	1	0	0	0.002440132	0	1	-0.612763669	0
FR749736.1.1496	1	0	0	8.06E-99	0	36	0	0
GQ010603.1.1367	1	0	0	0.000242373	0	1	-0.612763669	0
GQ263797.1.1435	3	479.6562757	6630	0.002713182	0	2	-0.195579565	0
GQ263828.1.1456	2	7.871241345	67	0.000539823	0	0	0	0
GQ264367.1.1450	3	309.965701	1063	0.061612092	0	3	-0.269320954	0
GQ264467.1.1434	3	276.224706	4019	0.00169507	0	2	-0.195579565	0
GQ302567.1.1523	2	139.5025439	1486	0.000483197	0	4	-0.341659944	0
GQ396836.1.1487	1	0	0	8.06E-99	0	54	0	0
GQ396899.1.1522	1	0	0	0.010804557	0	3	-0.77321177	0
GQ396918.1.1494	1	0	0	0.001427474	0	2	-0.847511447	0
GQ472352.1.1524	1	0	0	8.06E-99	0	37	0	0
GQ487889.1.1462	13	3908.733662	28200	0.02842252	0.012820513	1	3.274769771	0.378698225
GQ500707.1.1511	3	96.77775555	875	0.045970499	0.333333333	3	-0.521266362	0.444444444
GQ500729.1.1524	2	3.482705548	53	0.004391203	0	1	-0.612763669	0.5
GQ500734.1.1500	1	0	0	0.02959495	0	3	-0.77321177	0
