OTU_ID	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45
OTU_53	587.0	718.0	61.0	238.0	152.0	204.0	194.0	1107.0	514.0	870.0	453.0	721.0	870.0	591.0	290.0	3428.0	278.0	351.0	109.0	1718.0	1211.0	1688.0	637.0	390.0	461.0	510.0	427.0	123.0	483.0	258.0	264.0	451.0	321.0	668.0	253.0	178.0	173.0	709.0	425.0	159.0	711.0	1325.0	796.0	2872.0	1131.0
OTU_607	2861.0	2925.0	522.0	1013.0	1180.0	2201.0	1025.0	215.0	434.0	637.0	644.0	3036.0	988.0	967.0	1563.0	885.0	1495.0	770.0	1646.0	1959.0	2868.0	808.0	1192.0	400.0	4197.0	184.0	74.0	678.0	220.0	2701.0	1379.0	1706.0	2411.0	2226.0	1476.0	1306.0	1930.0	413.0	2092.0	1810.0	1346.0	2004.0	1680.0	1215.0	676.0
OTU_314	3069.0	1853.0	557.0	1271.0	823.0	3111.0	558.0	4153.0	6477.0	5439.0	9510.0	2435.0	1000.0	648.0	1301.0	647.0	212.0	4969.0	1120.0	2647.0	1796.0	2063.0	2588.0	866.0	4305.0	2022.0	4469.0	2.0	299.0	6842.0	2813.0	768.0	713.0	2903.0	3426.0	1409.0	1510.0	736.0	4127.0	2557.0	3026.0	501.0	7406.0	5143.0	10470.0
OTU_1393	339.0	30.0	0.0	6.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	572.0	13.0	29.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	7.0	3.0	153.0	0.0	0.0	0.0	8.0	0.0	15.0	0.0	0.0
OTU_1539	726.0	476.0	849.0	590.0	137.0	188.0	434.0	969.0	351.0	976.0	318.0	254.0	548.0	372.0	88.0	148.0	171.0	57.0	26.0	493.0	147.0	339.0	177.0	384.0	17.0	488.0	517.0	1077.0	757.0	44.0	408.0	558.0	430.0	354.0	268.0	1136.0	704.0	590.0	280.0	147.0	631.0	1039.0	573.0	635.0	791.0
OTU_748	681.0	445.0	77.0	99.0	79.0	3112.0	2085.0	1128.0	11542.0	7654.0	2369.0	526.0	914.0	274.0	518.0	1181.0	4.0	1979.0	597.0	1439.0	197.0	147.0	391.0	439.0	105.0	317.0	2632.0	1749.0	5196.0	2490.0	3292.0	1085.0	1059.0	498.0	707.0	1333.0	162.0	191.0	916.0	4816.0	632.0	1737.0	3380.0	487.0	1843.0
OTU_1047	224.0	0.0	68.0	0.0	9.0	1.0	0.0	9.0	13.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	16.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	9.0	47.0	1.0	56.0	9.0	0.0	38.0	0.0	0.0
OTU_375	1056.0	536.0	997.0	677.0	226.0	315.0	538.0	1530.0	229.0	719.0	46.0	136.0	345.0	100.0	195.0	272.0	202.0	86.0	46.0	144.0	48.0	176.0	267.0	737.0	23.0	268.0	276.0	446.0	510.0	29.0	412.0	774.0	95.0	219.0	126.0	1649.0	213.0	685.0	169.0	74.0	400.0	674.0	296.0	526.0	368.0
OTU_265	322.0	653.0	319.0	84.0	303.0	285.0	0.0	11.0	232.0	271.0	134.0	94.0	775.0	0.0	0.0	1.0	10.0	5.0	0.0	567.0	299.0	15.0	185.0	154.0	832.0	49.0	4.0	488.0	28.0	0.0	148.0	26.0	273.0	38.0	75.0	176.0	266.0	0.0	45.0	77.0	140.0	8.0	94.0	153.0	78.0
OTU_2880	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	10.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	11.0
OTU_1383	94.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	46.0	0.0	63.0	0.0	15.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_475	86.0	13.0	0.0	0.0	19.0	68.0	0.0	95.0	46.0	152.0	370.0	0.0	93.0	22.0	65.0	0.0	40.0	0.0	334.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	34.0	34.0	59.0	0.0	0.0	0.0	73.0	0.0	36.0	75.0	52.0	20.0	16.0	6.0	28.0	0.0	0.0	0.0	0.0
OTU_3449	33.0	19.0	50.0	16.0	5.0	10.0	16.0	62.0	4.0	11.0	0.0	5.0	12.0	6.0	3.0	9.0	2.0	18.0	2.0	9.0	5.0	5.0	7.0	24.0	3.0	11.0	2.0	3.0	13.0	0.0	11.0	30.0	1.0	3.0	1.0	47.0	4.0	29.0	3.0	1.0	3.0	12.0	11.0	29.0	9.0
OTU_3076	12.0	916.0	279.0	271.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	41.0	0.0	0.0	67.0	2.0	31.0	0.0	26.0	0.0	4.0	40.0	69.0	613.0	54.0	33.0	237.0	78.0	30.0	212.0	191.0	966.0	1.0	1.0	1.0	215.0	31.0	0.0	44.0	0.0
OTU_1099	113.0	83.0	1546.0	0.0	1279.0	77.0	0.0	11.0	0.0	0.0	4946.0	56.0	194.0	45.0	4.0	0.0	3.0	0.0	256.0	3.0	67.0	232.0	756.0	103.0	712.0	10.0	982.0	0.0	0.0	299.0	261.0	6.0	1.0	0.0	161.0	7.0	0.0	675.0	14.0	0.0	258.0	0.0	1.0	11.0	0.0
OTU_1618	19.0	0.0	15.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	9.0	0.0	51.0	14.0	8.0	4.0	0.0
OTU_92	563.0	339.0	481.0	3090.0	382.0	336.0	551.0	381.0	778.0	1093.0	1208.0	426.0	622.0	438.0	581.0	647.0	262.0	738.0	274.0	423.0	210.0	132.0	280.0	296.0	295.0	127.0	492.0	114.0	1879.0	640.0	104.0	111.0	139.0	461.0	422.0	308.0	420.0	5241.0	181.0	68.0	2053.0	723.0	536.0	752.0	412.0
OTU_285	1505.0	1409.0	122.0	683.0	272.0	341.0	371.0	864.0	682.0	827.0	264.0	721.0	908.0	842.0	792.0	2016.0	206.0	329.0	138.0	1690.0	366.0	1192.0	427.0	2131.0	2739.0	1027.0	893.0	1177.0	1150.0	4023.0	1177.0	406.0	717.0	1035.0	630.0	1134.0	1383.0	1919.0	670.0	242.0	1676.0	956.0	655.0	923.0	2440.0
OTU_3265	1273.0	413.0	1406.0	2232.0	972.0	255.0	2885.0	5215.0	756.0	2343.0	508.0	949.0	1111.0	709.0	245.0	1044.0	2141.0	285.0	486.0	212.0	159.0	338.0	982.0	677.0	135.0	621.0	800.0	620.0	1131.0	17.0	1109.0	262.0	383.0	1374.0	144.0	230.0	496.0	1286.0	240.0	292.0	386.0	449.0	225.0	311.0	70.0
OTU_1275	249.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_188	172.0	0.0	0.0	0.0	0.0	0.0	237.0	0.0	9.0	0.0	0.0	0.0	29.0	0.0	0.0	119.0	0.0	11.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	306.0	6.0	17.0	0.0	4.0	0.0	0.0	0.0	0.0	216.0	0.0	1.0	23.0	349.0	0.0	0.0	21.0	4.0	152.0
OTU_1372	87.0	0.0	3.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	141.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_2489	91.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
OTU_1800	1165.0	611.0	615.0	448.0	698.0	0.0	469.0	192.0	59.0	82.0	0.0	1061.0	886.0	359.0	1161.0	1.0	0.0	2.0	0.0	693.0	234.0	11.0	82.0	332.0	290.0	8.0	82.0	1055.0	927.0	558.0	230.0	177.0	874.0	254.0	1188.0	139.0	142.0	354.0	261.0	1556.0	241.0	155.0	765.0	394.0	571.0
OTU_3470	39.0	21.0	33.0	15.0	4.0	8.0	3.0	32.0	5.0	17.0	0.0	3.0	9.0	9.0	4.0	2.0	0.0	5.0	0.0	1.0	2.0	7.0	6.0	20.0	0.0	4.0	7.0	10.0	13.0	1.0	8.0	21.0	3.0	1.0	0.0	41.0	9.0	18.0	1.0	1.0	6.0	37.0	9.0	16.0	10.0
OTU_506	590.0	252.0	9172.0	0.0	831.0	0.0	0.0	56.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	62.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
OTU_3063	142.0	296.0	16.0	251.0	46.0	592.0	3.0	246.0	186.0	69.0	1.0	421.0	578.0	270.0	535.0	328.0	281.0	78.0	102.0	947.0	1457.0	469.0	1198.0	88.0	127.0	445.0	248.0	659.0	374.0	381.0	199.0	69.0	226.0	133.0	848.0	32.0	54.0	93.0	763.0	85.0	106.0	174.0	957.0	535.0	431.0
OTU_3175	356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0	0.0	10.0	21.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	74.0	0.0	21.0
OTU_202	9.0	7.0	518.0	0.0	194.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_1225	158.0	27.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	21.0	0.0	4.0	0.0	116.0	6.0	0.0	0.0	269.0	1.0	0.0	0.0	19.0	2.0	20.0	14.0	1.0	2.0	39.0	0.0	0.0	0.0	1.0	5.0	59.0
OTU_629	165.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	1.0	0.0
OTU_1955	5.0	4.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	11.0	0.0	0.0	0.0	9.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_1144	285.0	0.0	118.0	0.0	76.0	0.0	37.0	5.0	21.0	27.0	1.0	0.0	195.0	88.0	134.0	0.0	0.0	0.0	14.0	65.0	535.0	23.0	24.0	0.0	0.0	69.0	18.0	0.0	2.0	0.0	0.0	66.0	0.0	0.0	0.0	18.0	23.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	128.0
OTU_1094	141.0	146.0	204.0	360.0	410.0	148.0	85.0	83.0	279.0	207.0	19.0	165.0	149.0	80.0	153.0	18.0	8.0	57.0	84.0	136.0	32.0	56.0	114.0	70.0	206.0	129.0	104.0	102.0	120.0	185.0	106.0	82.0	58.0	53.0	69.0	141.0	256.0	135.0	91.0	433.0	29.0	206.0	60.0	81.0	16.0
OTU_1203	13.0	0.0	0.0	0.0	8.0	0.0	0.0	3.0	79.0	6.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	8.0	17.0	20.0	31.0	57.0	39.0	58.0	244.0	101.0	674.0	1.0	7.0	0.0	6.0	0.0
OTU_798	168.0	1.0	55.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	1.0	7.0	61.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0
OTU_3510	28.0	9.0	29.0	85.0	38.0	10.0	68.0	3.0	0.0	0.0	8.0	10.0	21.0	17.0	15.0	0.0	4.0	0.0	4.0	23.0	13.0	5.0	55.0	51.0	28.0	0.0	0.0	22.0	20.0	46.0	0.0	8.0	40.0	19.0	16.0	0.0	0.0	29.0	8.0	64.0	1.0	9.0	9.0	2.0	15.0
OTU_2583	1110.0	342.0	146.0	658.0	425.0	128.0	9.0	106.0	292.0	274.0	140.0	1268.0	964.0	237.0	86.0	429.0	533.0	528.0	1428.0	177.0	493.0	638.0	185.0	213.0	65.0	486.0	402.0	219.0	241.0	161.0	153.0	184.0	126.0	109.0	222.0	71.0	85.0	566.0	541.0	337.0	139.0	103.0	216.0	345.0	27.0
OTU_1184	112.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	35.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	399.0	9.0	0.0
OTU_3294	38.0	20.0	50.0	23.0	7.0	14.0	9.0	51.0	4.0	28.0	0.0	2.0	13.0	1.0	6.0	6.0	4.0	10.0	0.0	13.0	4.0	10.0	5.0	37.0	0.0	10.0	6.0	14.0	18.0	1.0	11.0	28.0	4.0	1.0	5.0	77.0	11.0	22.0	11.0	2.0	7.0	20.0	11.0	24.0	13.0
OTU_1097	278.0	93.0	53.0	198.0	52.0	269.0	79.0	140.0	171.0	138.0	98.0	185.0	198.0	8.0	42.0	3.0	0.0	18.0	190.0	52.0	7.0	0.0	46.0	91.0	81.0	174.0	72.0	16.0	104.0	41.0	25.0	9.0	7.0	2.0	6.0	81.0	96.0	11.0	30.0	2.0	5.0	20.0	16.0	24.0	30.0
OTU_1201	153.0	341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_105	18.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	0.0	3.0	4.0	0.0	26.0	6.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
OTU_724	246.0	224.0	7.0	0.0	696.0	0.0	0.0	1.0	16.0	0.0	0.0	13.0	2.0	48.0	0.0	0.0	25.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	13.0	52.0	0.0	4.0	0.0	34.0	453.0	232.0	449.0	114.0	28.0	130.0	163.0	4.0	2.0	0.0	8.0	30.0	14.0	0.0
OTU_1195	51.0	0.0	0.0	0.0	209.0	0.0	1.0	134.0	0.0	10.0	0.0	1.0	0.0	35.0	0.0	181.0	4.0	0.0	95.0	60.0	10.0	2.0	0.0	0.0	0.0	119.0	61.0	1.0	71.0	1.0	48.0	19.0	21.0	45.0	0.0	21.0	26.0	1.0	27.0	21.0	38.0	563.0	29.0	49.0	0.0
OTU_474	31.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	1.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_1921	54.0	19.0	1.0	5.0	1.0	46.0	18.0	55.0	457.0	161.0	111.0	63.0	1.0	25.0	21.0	11.0	5.0	83.0	45.0	96.0	46.0	91.0	36.0	4.0	176.0	70.0	124.0	0.0	0.0	190.0	71.0	17.0	17.0	44.0	84.0	12.0	1.0	28.0	123.0	71.0	8.0	0.0	25.0	24.0	63.0
OTU_1057	72.0	0.0	66.0	0.0	0.0	34.0	0.0	2.0	21.0	20.0	118.0	2.0	0.0	0.0	0.0	0.0	5.0	5.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	108.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	27.0	195.0	39.0	2.0	0.0	0.0	0.0	60.0	1.0	20.0
OTU_1104	409.0	293.0	67.0	398.0	46.0	198.0	0.0	0.0	0.0	3.0	0.0	832.0	1714.0	0.0	0.0	0.0	7.0	0.0	0.0	4.0	2.0	0.0	1.0	0.0	0.0	220.0	0.0	1.0	295.0	0.0	16.0	13.0	102.0	0.0	35.0	58.0	454.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
OTU_59	172.0	105.0	11.0	8.0	68.0	11.0	1.0	44.0	2.0	14.0	57.0	100.0	78.0	84.0	37.0	14.0	15.0	7.0	22.0	54.0	73.0	7.0	31.0	40.0	12.0	20.0	21.0	2.0	6.0	2.0	13.0	4.0	8.0	33.0	38.0	3.0	21.0	10.0	10.0	4.0	25.0	1.0	61.0	76.0	31.0
OTU_577	89.0	71.0	44.0	28.0	58.0	0.0	54.0	14.0	4.0	8.0	0.0	100.0	86.0	34.0	110.0	1.0	0.0	2.0	3.0	54.0	25.0	0.0	10.0	30.0	50.0	0.0	10.0	89.0	75.0	68.0	31.0	15.0	66.0	36.0	110.0	10.0	16.0	40.0	26.0	140.0	22.0	14.0	61.0	24.0	60.0
OTU_229	652.0	331.0	1075.0	2493.0	1246.0	339.0	2136.0	148.0	4.0	0.0	621.0	354.0	122.0	662.0	767.0	12.0	129.0	0.0	87.0	687.0	567.0	76.0	1304.0	1481.0	737.0	30.0	16.0	563.0	492.0	1535.0	22.0	172.0	1835.0	591.0	921.0	16.0	24.0	1060.0	402.0	1702.0	22.0	214.0	522.0	40.0	491.0
OTU_2068	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_376	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0
OTU_1161	147.0	1001.0	3050.0	2877.0	13169.0	675.0	1690.0	14.0	146.0	20.0	10.0	75.0	116.0	76.0	2.0	1.0	1417.0	0.0	3.0	57.0	100.0	9.0	7.0	1463.0	372.0	804.0	840.0	453.0	130.0	115.0	70.0	266.0	129.0	129.0	452.0	223.0	469.0	1729.0	114.0	2673.0	266.0	1336.0	438.0	326.0	95.0
OTU_3208	40.0	20.0	23.0	32.0	5.0	16.0	13.0	38.0	6.0	21.0	3.0	3.0	28.0	2.0	3.0	10.0	6.0	4.0	4.0	6.0	2.0	6.0	13.0	26.0	0.0	8.0	6.0	21.0	19.0	3.0	11.0	34.0	0.0	13.0	5.0	53.0	10.0	18.0	5.0	0.0	11.0	18.0	7.0	23.0	12.0
OTU_2683	432.0	622.0	67.0	30.0	115.0	354.0	20.0	0.0	95.0	1.0	122.0	1140.0	682.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	2.0	0.0	356.0	0.0	1.0	0.0	33.0	2.0	11.0	1.0	4.0	15.0	30.0	6.0	5.0	21.0	0.0	0.0	9.0	0.0	0.0	14.0	165.0	64.0
OTU_776	81.0	42.0	0.0	2.0	0.0	526.0	0.0	34.0	94.0	85.0	2.0	280.0	380.0	128.0	1234.0	2.0	13.0	12.0	139.0	182.0	66.0	489.0	45.0	107.0	3.0	282.0	148.0	49.0	170.0	149.0	112.0	288.0	141.0	111.0	132.0	103.0	74.0	301.0	740.0	455.0	3.0	58.0	273.0	91.0	16.0
OTU_1471	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0
OTU_3661	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	10.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
OTU_1282	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	94.0	9.0	2.0	0.0	0.0	2.0	2.0	6.0	0.0	19.0	1.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	1.0	16.0	0.0	9.0	2.0	2.0	0.0	0.0	0.0	16.0	5.0	27.0	5.0	0.0
