OTU_ID	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45
OTU_142	10006.0	10090.0	3145.0	5634.0	2593.0	9089.0	4938.0	9028.0	8209.0	7777.0	1768.0	7599.0	9797.0	5069.0	4063.0	2183.0	21448.0	11970.0	6580.0	12400.0	10057.0	7959.0	6992.0	12659.0	6916.0	5761.0	2089.0	13044.0	10414.0	6320.0	8344.0	4380.0	7720.0	4316.0	3988.0	3001.0	7654.0	1549.0	1436.0	2329.0	4675.0	3157.0	5190.0	4779.0	7877.0
OTU_846	6083.0	7050.0	1570.0	3359.0	2519.0	9858.0	2953.0	10021.0	8741.0	6121.0	1168.0	10643.0	9735.0	17249.0	11553.0	12692.0	3233.0	8605.0	4149.0	13882.0	14205.0	21474.0	19172.0	12256.0	3763.0	24270.0	14692.0	4211.0	7775.0	9479.0	17906.0	13183.0	15218.0	13619.0	6224.0	2246.0	2723.0	6494.0	9079.0	4349.0	3875.0	2529.0	3077.0	7394.0	4507.0
OTU_3654	572.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	510.0	0.0	0.0	16.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	32.0
OTU_284	1807.0	601.0	295.0	233.0	96.0	1018.0	694.0	502.0	819.0	628.0	0.0	24.0	511.0	606.0	783.0	173.0	116.0	463.0	271.0	215.0	359.0	47.0	251.0	850.0	9.0	561.0	439.0	904.0	1016.0	401.0	453.0	323.0	666.0	350.0	622.0	593.0	437.0	1224.0	261.0	22.0	87.0	588.0	226.0	628.0	563.0
OTU_3079	7796.0	5174.0	8678.0	3436.0	1198.0	2637.0	2057.0	9783.0	906.0	4320.0	234.0	623.0	3177.0	855.0	1221.0	2096.0	1029.0	960.0	465.0	1573.0	486.0	1713.0	2060.0	5777.0	397.0	2373.0	2429.0	3415.0	3200.0	328.0	3672.0	8764.0	765.0	1466.0	1072.0	17913.0	2361.0	6432.0	1585.0	541.0	3380.0	7251.0	2974.0	6799.0	2966.0
OTU_1095	541.0	234.0	413.0	211.0	345.0	281.0	485.0	124.0	265.0	275.0	23.0	305.0	619.0	385.0	182.0	504.0	259.0	91.0	188.0	858.0	452.0	328.0	665.0	474.0	8.0	663.0	671.0	207.0	408.0	508.0	227.0	229.0	302.0	210.0	422.0	230.0	222.0	292.0	795.0	41.0	819.0	807.0	387.0	583.0	1026.0
OTU_783	1710.0	456.0	347.0	1941.0	1040.0	1157.0	1126.0	947.0	1039.0	847.0	887.0	2398.0	1857.0	355.0	385.0	113.0	99.0	452.0	262.0	92.0	194.0	252.0	242.0	138.0	459.0	1536.0	145.0	1793.0	851.0	463.0	216.0	817.0	87.0	154.0	241.0	543.0	1301.0	171.0	92.0	271.0	110.0	172.0	68.0	194.0	62.0
OTU_1159	351.0	170.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	82.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	191.0	36.0	52.0	0.0	0.0	0.0
OTU_1129	253.0	0.0	0.0	0.0	0.0	324.0	0.0	2.0	25.0	0.0	0.0	1.0	554.0	225.0	116.0	0.0	0.0	12.0	6.0	0.0	2.0	1.0	0.0	0.0	35.0	1.0	17.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	7.0	1.0	0.0	14.0	4.0	0.0	24.0	0.0	6.0	3.0	3.0
OTU_246	1042.0	1438.0	1768.0	3131.0	4114.0	1267.0	801.0	753.0	1738.0	1747.0	610.0	1634.0	1146.0	765.0	1356.0	666.0	998.0	581.0	873.0	1666.0	624.0	774.0	1073.0	758.0	1630.0	933.0	951.0	945.0	879.0	1728.0	1163.0	832.0	740.0	676.0	872.0	1743.0	4291.0	1169.0	716.0	4128.0	424.0	1941.0	770.0	1105.0	454.0
