Phylum,Class,class_count
Thaumarchaeota, Nitrososphaeria,2
Nitrospirae, Nitrospira,1
Latescibacteria, Latescibacteria,1
Acidobacteria, Subgroup 22,2
Latescibacteria, Ambiguous_taxa,1
Acidobacteria, Blastocatellia (Subgroup 4),20
Acidobacteria, Subgroup 11,1
Actinobacteria, MB-A2-108,1
Rokubacteria, NC10,2
Chloroflexi, Anaerolineae,3
Acidobacteria, Subgroup 6,37
Planctomycetes, Pla4 lineage,1
Verrucomicrobia, Verrucomicrobiae,39
Latescibacteria, uncultured bacterium,2
Gemmatimonadetes, Gemmatimonadetes,7
Proteobacteria, Gammaproteobacteria,59
Bacteroidetes, Bacteroidia,53
Acidobacteria, Holophagae,3
Acidobacteria, Subgroup 5,4
Actinobacteria, Thermoleophilia,7
Planctomycetes, OM190,2
Proteobacteria, Alphaproteobacteria,57
Chloroflexi, KD4-96,3
Proteobacteria, Deltaproteobacteria,22
Planctomycetes, Phycisphaerae,12
Acidobacteria, Acidobacteriia,5
Actinobacteria, Actinobacteria,13
Acidobacteria, Subgroup 17,2
Chloroflexi, TK10,2
Elusimicrobia, Lineage IIa,1
Gemmatimonadetes, BD2-11 terrestrial group,1
Euryarchaeota, Thermoplasmata,1
Planctomycetes, Planctomycetacia,9
Chloroflexi, OLB14,1
Firmicutes, Bacilli,2
Chloroflexi, Dehalococcoidia,1
Actinobacteria, Acidimicrobiia,3
