OTU_ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU_1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sp 
OTU_10,Fungi,NA,NA,NA,NA,NA,NA
OTU_100,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella fujikuroi
OTU_1000,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Cordyceps bassiana
OTU_1001,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp 
OTU_1002,Fungi,NA,NA,NA,NA,NA,NA
OTU_1003,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,Ophiosphaerella sp 
OTU_1006,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1007,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,Volvariella murinella
OTU_1008,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus placomyces
OTU_1009,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_101,Fungi,Ascomycota,Orbiliomycetes,NA,NA,NA,NA
OTU_1013,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,NA,NA,NA
OTU_1014,Fungi,NA,NA,NA,NA,NA,NA
OTU_1016,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces sp 
OTU_1017,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU_102,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Reticulascaceae,Reticulascus,Reticulascus tulasneorum
OTU_1020,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus caesiellus
OTU_1021,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius malachius
OTU_1023,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1024,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,NA,NA
OTU_1025,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU_1026,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1027,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta canina
OTU_1028,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Tilachlidiaceae,NA,NA
OTU_1029,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella merdicola
OTU_1030,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Laetisaria,Laetisaria arvalis
OTU_1031,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Arthrobotrys superba
OTU_1032,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_1033,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1034,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Scleroderma areolatum
OTU_1035,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora sp 
OTU_1037,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,Venturia inaequalis
OTU_1038,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella microrhiza
OTU_1039,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_104,Fungi,NA,NA,NA,NA,NA,NA
OTU_1040,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_1041,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
OTU_1042,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella sp 
OTU_1044,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis,Acremonium,Acremonium spinosum
OTU_1046,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,NA,NA
OTU_1047,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_1048,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium virgatum
OTU_1049,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,Aureobasidium,Aureobasidium pullulans
OTU_105,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,Scutellinia scutellata
OTU_1052,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,NA,NA
OTU_1054,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula sp 
OTU_1057,Fungi,Ascomycota,Sordariomycetes,Branch06,NA,NA,NA
OTU_1058,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma sp 
OTU_1059,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma lucidum
OTU_106,Fungi,NA,NA,NA,NA,NA,NA
OTU_1060,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_1061,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1062,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma sp 
OTU_1063,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria sp 
OTU_1064,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus eurysporus
OTU_1065,Fungi,NA,NA,NA,NA,NA,NA
OTU_1066,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,NA,NA
OTU_1067,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,Crepidotus crocophyllus
OTU_1068,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Hymenoscyphus menthae
OTU_1069,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Schwanniomyces,Schwanniomyces occidentalis
OTU_107,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,Blumeria graminis
OTU_1070,Fungi,NA,NA,NA,NA,NA,NA
OTU_1072,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
OTU_1073,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1074,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp 
OTU_1075,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
