"OTU_ID"	"F01"	"F02"	"F03"	"F04"	"F05"	"F06"	"F07"	"F08"	"F09"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU_1"	1	8	24	6	13	5	14	2	3	8	69	23	5	20	15	11	60	27	33	13	25	13	10	24	138	14	14	4	1	2	2	2	16	3	12	9	29	9	22	2	5	3	28	8	88	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"Fusarium sp "
"OTU_10"	0	0	1	1	0	3	8	7	4	7	229	2	0	6	8	16	0	16	3	10	13	1	5	0	0	0	8	0	0	0	2	0	0	0	7	0	0	12	0	0	5	32	0	2	13	"Fungi"	NA	NA	NA	NA	NA	NA
"OTU_100"	1	10	1	24	16	0	20	4	4	13	44	17	1	11	10	17	51	18	28	9	5	17	10	9	61	4	9	0	1	0	0	2	8	1	0	2	10	1	2	0	4	2	17	4	8	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Gibberella"	"Gibberella fujikuroi"
"OTU_1000"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Cordycipitaceae"	"Cordyceps"	"Cordyceps bassiana"
"OTU_1001"	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella sp "
"OTU_1002"	0	0	0	0	0	3	0	0	1	1	0	0	0	0	7	0	0	0	0	0	0	1	0	1	0	2	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	"Fungi"	NA	NA	NA	NA	NA	NA
"OTU_1003"	0	0	0	0	0	0	11	0	13	4	0	0	0	0	0	0	0	0	2	4	0	0	0	1	4	1	0	0	9	4	0	1	2	0	0	1	0	0	1	5	1	0	0	0	0	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"OTU_1005"	0	0	15	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	1	11	0	0	0	0	0	0	0	0	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Ophiosphaerella"	"Ophiosphaerella sp "
"OTU_1006"	0	0	0	0	0	0	0	0	41	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	NA	NA	NA
"OTU_1007"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Pluteaceae"	"Volvariella"	"Volvariella murinella"
